code_metier,code_competence,poids,niveau_requis,est_actif,date_creation,date_mise_a_jour
OP002,COMP83,2.0,3.0,true,2025-09-03 13:56:09,2025-09-11 07:19:18
OP003,COMP200,2.0,3.0,true,2025-09-03 13:56:38,2025-09-11 07:43:31
OP003,COMP29,2.0,3.0,true,2025-09-03 13:56:38,2025-09-11 07:43:19
OP003,COMP467,2.0,3.0,true,2025-09-03 13:56:38,2025-09-11 07:43:57
OP003,COMP474,2.0,3.0,true,2025-09-03 13:56:38,2025-09-11 07:43:51
OP003,COMP481,2.0,2.0,true,2025-09-03 13:56:38,2025-09-11 07:44:34
OP003,COMP521,2.0,3.0,true,2025-09-03 13:56:38,2025-09-11 07:44:03
OP003,COMP548,2.0,2.0,true,2025-09-03 13:56:38,2025-09-11 07:44:10
OP003,COMP558,2.0,2.0,true,2025-09-03 13:56:38,2025-09-11 07:44:16
OP003,COMP560,2.0,3.0,true,2025-09-03 13:56:38,2025-09-11 07:44:22
OP003,COMP572,2.0,3.0,true,2025-09-03 13:56:38,2025-09-11 07:44:28
OP003,COMP578,2.0,2.0,true,2025-09-03 13:56:39,2025-09-11 07:45:19
OP003,COMP579,2.0,3.0,true,2025-09-03 13:56:39,2025-09-11 07:45:12
OP003,COMP585,2.0,3.0,true,2025-09-03 13:56:38,2025-09-11 07:44:40
OP003,COMP587,2.0,3.0,true,2025-09-03 13:56:38,2025-09-11 07:44:46
OP003,COMP595,2.0,3.0,true,2025-09-03 13:56:39,2025-09-11 07:44:53
OP003,COMP596,2.0,3.0,true,2025-09-03 13:56:39,2025-09-11 07:45:00
OP003,COMP599,2.0,3.0,true,2025-09-03 13:56:39,2025-09-11 07:45:06
OP003,COMP61,2.0,2.0,true,2026-02-25 04:14:44,2026-02-25 04:14:54
OP003,COMP81,2.0,4.0,true,2025-09-03 13:56:38,2025-09-11 07:43:25
OP003,COMP83,2.0,3.0,true,2025-09-03 13:56:38,2025-09-11 07:43:38
OP004,COMP226,2.0,3.0,true,2025-09-03 13:56:45,2025-09-11 07:50:50
OP004,COMP228,2.0,4.0,true,2025-09-03 13:56:46,2025-09-11 07:51:03
OP004,COMP230,2.0,3.0,true,2025-09-03 13:56:46,2025-09-11 07:51:17
OP004,COMP29,2.0,3.0,true,2025-09-03 13:56:45,2025-09-11 07:50:54
OP004,COMP449,2.0,3.0,true,2025-09-03 13:56:46,2025-09-11 07:51:32
OP004,COMP452,2.0,3.0,true,2025-09-03 13:56:46,2025-09-11 07:51:49
OP004,COMP461,2.0,2.0,true,2025-09-03 13:56:46,2025-09-11 07:51:37
OP004,COMP474,2.0,3.0,true,2025-09-03 13:56:46,2025-09-11 07:51:42
OP004,COMP487,2.0,3.0,true,2025-09-03 13:56:46,2025-09-11 07:51:22
OP004,COMP547,2.0,3.0,true,2025-09-03 13:56:46,2025-09-11 07:51:53
OP004,COMP554,2.0,3.0,true,2025-09-03 13:56:46,2025-09-11 07:51:27
OP004,COMP578,2.0,3.0,true,2025-09-03 13:56:47,2025-09-11 07:52:32
OP004,COMP579,2.0,4.0,true,2025-09-03 13:56:47,2025-09-11 07:52:22
OP004,COMP581,2.0,4.0,true,2025-09-03 13:56:47,2025-09-11 07:52:17
OP004,COMP585,2.0,3.0,true,2025-09-03 13:56:46,2025-09-11 07:51:58
OP004,COMP586,2.0,3.0,true,2025-09-03 13:56:46,2025-09-11 07:52:02
OP004,COMP591,2.0,4.0,true,2025-09-03 13:56:47,2025-09-11 07:52:26
OP004,COMP595,2.0,3.0,true,2025-09-03 13:56:47,2025-09-11 07:52:07
OP004,COMP596,2.0,3.0,true,2025-09-03 13:56:47,2025-09-11 07:52:12
OP004,COMP81,2.0,2.0,true,2025-09-03 13:56:45,2025-09-11 07:50:58
OP004,COMP83,2.0,3.0,true,2025-09-03 13:56:46,2025-09-11 07:51:08
OP005,COMP29,2.0,3.0,true,2026-02-25 04:31:41,2026-02-25 04:32:21
OP005,COMP449,2.0,3.0,true,2025-09-03 13:56:11,2025-09-11 07:22:27
OP005,COMP454,2.0,3.0,true,2025-09-03 13:56:11,2025-09-11 07:21:19
OP005,COMP486,2.0,4.0,true,2025-09-03 13:56:11,2025-09-11 07:21:57
OP005,COMP501,2.0,4.0,true,2025-09-03 13:56:11,2025-09-11 07:21:29
OP005,COMP547,2.0,3.0,true,2025-09-03 13:56:11,2025-09-11 07:22:16
OP005,COMP550,2.0,3.0,true,2025-09-03 13:56:11,2025-09-11 07:21:47
OP005,COMP557,2.0,3.0,true,2025-09-03 13:56:11,2025-09-11 07:21:38
OP005,COMP569,2.0,3.0,true,2025-09-03 13:56:11,2025-09-11 07:22:07
OP005,COMP585,2.0,4.0,true,2025-09-03 13:56:11,2025-09-11 07:22:35
OP005,COMP586,2.0,4.0,true,2025-09-03 13:56:12,2025-09-11 07:23:07
OP005,COMP588,2.0,4.0,true,2025-09-03 13:56:11,2025-09-11 07:22:46
OP005,COMP591,2.0,4.0,true,2025-09-03 13:56:12,2025-09-11 07:23:56
OP005,COMP594,2.0,3.0,true,2025-09-03 13:56:12,2025-09-11 07:23:16
OP005,COMP595,2.0,3.0,true,2025-09-03 13:56:12,2025-09-11 07:24:06
OP005,COMP596,2.0,4.0,true,2025-09-03 13:56:12,2025-09-11 07:23:26
OP005,COMP597,2.0,3.0,true,2025-09-03 13:56:12,2025-09-11 07:23:37
OP005,COMP598,2.0,4.0,true,2025-09-03 13:56:11,2025-09-11 07:22:56
OP005,COMP599,2.0,4.0,true,2025-09-03 13:56:12,2025-09-11 07:23:47
OP005,COMP61,2.0,3.0,true,2026-02-25 04:34:24,2026-02-25 04:35:10
OP005,COMP81,2.0,3.0,true,2026-02-25 04:32:44,2026-02-25 04:32:53
OP005,COMP83,2.0,3.0,true,2025-09-03 13:56:11,2025-09-11 07:21:10
OP005,COMP93,2.0,3.0,true,2025-09-03 13:56:11,2025-09-11 07:20:30
OP005,COMP96,2.0,3.0,true,2025-09-03 13:56:11,2025-09-11 07:21:01
OP006,COMP30,2.0,3.0,true,2026-02-25 04:36:53,2026-02-25 04:37:13
OP006,COMP405,2.0,3.0,true,2025-09-03 13:57:46,2025-09-11 08:47:47
OP006,COMP406,2.0,3.0,true,2025-09-03 13:57:47,2025-09-11 08:47:51
OP006,COMP407,2.0,3.0,true,2025-09-03 13:57:47,2025-09-11 08:47:54
OP006,COMP408,2.0,4.0,true,2025-09-03 13:57:47,2025-09-11 08:47:58
OP006,COMP411,2.0,3.0,true,2025-09-03 13:57:47,2025-09-11 08:48:10
OP006,COMP414,2.0,3.0,true,2025-09-03 13:57:47,2025-09-11 08:48:22
OP006,COMP450,2.0,3.0,true,2025-09-03 13:57:47,2025-09-11 08:48:34
OP006,COMP461,2.0,3.0,true,2025-09-03 13:57:48,2025-09-11 08:48:49
OP006,COMP463,2.0,3.0,true,2025-09-03 13:57:48,2025-09-11 08:48:53
OP006,COMP465,2.0,4.0,true,2025-09-03 13:57:47,2025-09-11 08:48:37
OP006,COMP483,2.0,4.0,true,2025-09-03 13:57:48,2025-09-11 08:48:41
OP006,COMP490,2.0,3.0,true,2025-09-03 13:57:48,2025-09-11 08:48:45
OP006,COMP517,2.0,4.0,true,2025-09-03 13:57:47,2025-09-11 08:48:30
OP006,COMP519,2.0,3.0,true,2025-09-03 13:57:47,2025-09-11 08:48:26
OP006,COMP528,2.0,3.0,true,2025-09-03 13:57:48,2025-09-11 08:48:57
