code_metier,neobrain_metier_id,metier_collaborateur,famille_metier_id,statut_metier_id,metier_actif
OP061,11041911,Urbaniste du SI,systemes_d_information,PUBLIE,true
OP062,11041912,Responsable d'études,systemes_d_information,PUBLIE,true
OP063,11041913,Architecte logiciel,systemes_d_information,PUBLIE,true
OP068,11041918,Concepteur développeur du SI,systemes_d_information,PUBLIE,true
OP070,11041920,Technicien de maintenance poste de travail,systemes_d_information,PUBLIE,true
OP072,11041922,Responsable d'exploitation du SI,systemes_d_information,PUBLIE,true
OP074,11041924,Géomaticien,systemes_d_information,PUBLIE,true
OP077,11041927,Responsable qualité et méthodes,pilotage,PUBLIE,true
OP079,11041929,Auditeur interne,pilotage,PUBLIE,true
OP080,11041930,Controleur interne,pilotage,PUBLIE,true
OP082,11041932,Chef de service,pilotage,PUBLIE,true
OP009,11041859,Chargé de communication,marketing_et_communication,PUBLIE,true
OP010,11041860,Analyste LCBFT,services_bancaires,PUBLIE,true
OP013,11041863,Chargé d'études opérationnelles postales,activites_postales,PUBLIE,true
OP015,11041865,Chargé d'exploitation postal,activites_postales,PUBLIE,true
OP016,11041866,Chargé de la distribution postale,activites_postales,PUBLIE,true
OP018,11041868,Architecte des réseaux et services des télécommunications,telecommunications,PUBLIE,true
OP020,11041870,Qualifieur réseaux,telecommunications,PUBLIE,true
OP026,11041876,Ingénieur des réseaux et services des télécommunications,telecommunications,PUBLIE,true
OP035,11041885,Chargé du développement des compétences,ressources_humaines,PUBLIE,true
OP037,11041887,Infirmière santé,ressources_humaines,PUBLIE,true
OP038,11041888,Gestionnaire santé,ressources_humaines,PUBLIE,true
OP039,11041889,Psychologue du travail,ressources_humaines,PUBLIE,true
OP040,11041890,Formateur,ressources_humaines,PUBLIE,true
OP043,11041893,Gestionnaire carrière,ressources_humaines,PUBLIE,true
OP044,11041894,Conseiller en prévention,ressources_humaines,PUBLIE,true
OP047,11041897,Gestionnaire comptable,finances_budget,PUBLIE,true
OP049,11041899,Responsable des constructions,patrimoine_bati,PUBLIE,true
OP051,11041901,Gestionnaire intervention immobilière,patrimoine_bati,PUBLIE,true
OP067,11041917,Responsable de système applicatif,systemes_d_information,PUBLIE,true
OP069,11041919,Intégrateur d'application,systemes_d_information,PUBLIE,true
OP075,11041925,Directeur,pilotage,PUBLIE,true
OP081,11041931,Chef d'établissement,pilotage,PUBLIE,true
OP084,11041934,Data analyst,pilotage,PUBLIE,true
