Nom Client,Id Neobrain Métier,Code Métier,Métier collaborateur,Famille métier,Sous-famille métier,Nombre de compétences du métier,Niveau de compétence moyen requis,Métier actif? 0/1,Métier actif?,Statut du métier
OPT - NC,11041903,OP053,Approvisionneur,LOGISTIQUE,,24,2.42,1,True,Publié
OPT - NC,11041904,OP054,Magasinier,LOGISTIQUE,,21,3.0,1,True,Publié
OPT - NC,11041905,OP055,Gestionnaire logistique,LOGISTIQUE,,24,2.88,1,True,Publié
OPT - NC,11041906,OP056,Gestionnaire de parc,LOGISTIQUE,,36,2.56,1,True,Publié
OPT - NC,11041907,OP057,Acheteur,LOGISTIQUE,,23,2.87,1,True,Publié
OPT - NC,11041908,OP058,Chargé de la transition énergétique,LOGISTIQUE,,25,2.64,1,True,Publié
OPT - NC,11041909,OP059,Agent d'entretien des espaces naturels,LOGISTIQUE,,14,3.0,1,True,Publié
OPT - NC,11041910,OP060,Chargé du dédouanement,LOGISTIQUE,,23,2.91,1,True,Publié
OPT - NC,11041911,OP061,Urbaniste du SI,Systèmes d'information,,21,3.1,1,True,Publié
OPT - NC,11041912,OP062,Responsable d'études,Systèmes d'information,,21,3.1,1,True,Publié
OPT - NC,11041913,OP063,Architecte logiciel,Systèmes d'information,,28,3.11,1,True,Publié
OPT - NC,11041914,OP064,Administrateur réseau,Systèmes d'information,,25,3.04,1,True,Publié
OPT - NC,11041915,OP065,Administrateur système,Systèmes d'information,,20,3.05,1,True,Publié
OPT - NC,11041916,OP066,Administrateur d'application,Systèmes d'information,,29,3.31,1,True,Publié
OPT - NC,11041917,OP067,Responsable de système applicatif,Systèmes d'information,,24,3.08,1,True,Publié
OPT - NC,11041918,OP068,Concepteur développeur du SI,Systèmes d'information,,25,3.0,1,True,Publié
OPT - NC,11041919,OP069,Intégrateur d'application,Systèmes d'information,,23,3.13,1,True,Publié
OPT - NC,11041920,OP070,Technicien de maintenance poste de travail,Systèmes d'information,,23,2.91,1,True,Publié
OPT - NC,11041921,OP071,Technicien support utilisateur,Systèmes d'information,,24,3.3,1,True,Publié
OPT - NC,11041922,OP072,Responsable d'exploitation du SI,Systèmes d'information,,25,3.16,1,True,Publié
OPT - NC,11041923,OP073,Responsable de la Sécurité des Systèmes d'Information - SSI,Systèmes d'information,,24,3.17,1,True,Publié
OPT - NC,11041924,OP074,Géomaticien,Systèmes d'information,,21,3.0,1,True,Publié
OPT - NC,11041925,OP075,Directeur,Pilotage,,35,3.46,1,True,Publié
OPT - NC,11041926,OP076,Contrôleur de gestion,Pilotage,,24,2.46,1,True,Publié
OPT - NC,11041927,OP077,Responsable qualité et méthodes,Pilotage,,24,3.0,1,True,Publié
OPT - NC,11041928,OP078,Responsable de projet,Pilotage,,23,2.91,1,True,Publié
OPT - NC,11041929,OP079,Auditeur interne,Pilotage,,18,3.06,1,True,Publié
OPT - NC,11041930,OP080,Controleur interne,Pilotage,,27,3.0,1,True,Publié
OPT - NC,11041931,OP081,Chef d'établissement,Pilotage,,35,3.29,1,True,Publié
OPT - NC,11041932,OP082,Chef de service,Pilotage,,33,3.33,1,True,Publié
OPT - NC,11041933,OP083,Juriste conformité,Pilotage,,16,2.5,1,True,Publié
OPT - NC,11041934,OP084,Data analyst,Pilotage,,20,3.15,1,True,Publié
