code_competence,nom_competence,id_categorie_detention,date_mise_a_jour
COMP483,"Conduire un projet, une démarche",moderately_held,2025-09-03 13:38:34
COMP328,Méthodes d'entreposage,poorly_held,2025-09-03 13:38:19
COMP116,Techniques de communication,well_held,2025-12-29 05:14:34
COMP39,Connaissance de la réglementation bancaire,poorly_held,2025-09-03 13:38:01
COMP185,"Connaissance des outils Gitlab, Sonarqube, Jenkins, Artifactory",poorly_held,2025-09-03 13:38:08
COMP493,Déléguer,well_held,2025-12-18 05:58:32
COMP73,Gestion de l'information,moderately_held,2026-04-01 23:43:20
COMP612,Connaissance de l'organisation et du plan stratégique de l'Office,moderately_held,2026-02-26 00:57:18
COMP576,Curiosité intellectuelle,well_held,2025-09-03 13:38:46
COMP567,Traduire,poorly_held,2026-03-23 06:49:17
COMP240,Utilisation SQL,poorly_held,2025-09-03 13:38:12
COMP538,Négocier,moderately_held,2026-01-19 05:20:08
COMP53,Notion des régles des contrats publics,well_held,2025-09-03 13:38:02
COMP422,"Outils bureautiques, logiciels courants, outils de sécurité.",poorly_held,2025-09-03 13:38:27
COMP143,Connaissance des régles d'urbanisme des différentes zones d'interventions,poorly_held,2025-09-03 13:38:05
COMP54,Techniques commerciales,well_held,2026-03-12 00:00:40
COMP84,Avoir une culture pluri-disciplinaire,poorly_held,2025-09-03 13:38:03
COMP609,Connaissance de l'architecture des réseaux et services,poorly_held,2026-02-04 22:19:19
COMP8,"Connaissance AGL ADELIA, CLP/400,",poorly_held,2025-09-03 13:38:01
COMP283,Notions de sécurité et de risques pour le public.,poorly_held,2025-09-03 13:38:15
COMP530,Manœuvrer un engin spécialisé,poorly_held,2025-09-03 13:38:40
COMP43,Générale des architectures et fonctions des équipements.,poorly_held,2025-09-03 13:38:01
COMP554,Rédiger,well_held,2025-09-03 13:38:43
COMP89,Aptitude à gérer le stress et les situatons d'urgence,poorly_held,2025-09-03 13:38:03
COMP600,"Communication - Capacité à transmettre clairement des informations, à écouter activement, et à établir un échange efficace pour atteindre des objectifs communs",moderately_held,2025-09-03 13:38:49
COMP77,Droit/Réglementation,moderately_held,2025-09-03 13:38:02
COMP262,Procédures comptables et budgétaires en vigueur,poorly_held,2025-09-03 13:38:13
COMP356,Tests d'évaluation psychologique,poorly_held,2025-09-03 13:38:21
COMP342,Générale de l'ingénierie des lignes et de leurs caractéristiques.,poorly_held,2025-09-03 13:38:20
COMP462,Animer une réunion,well_held,2025-09-03 13:38:32
COMP453,Alerter sur une situation à risque,well_held,2025-09-03 13:38:31
COMP184,"Connaissance des framework Front-End : Bootstrap, Angular 2+",poorly_held,2025-09-03 13:38:08
COMP100,"Hygiène, sécurité et conditions de travail",well_held,2026-03-23 06:49:17
COMP11,Anglais technique lu et écrit,well_held,2025-09-03 13:38:01
